r_A,Phi_water_to_ion_kcal_mol_per_e,n_frames,coord_scale,ion_index,n_atoms,n_water_atoms,n_water_oxygens
0.000000,0.000000000000,100000,1.0,0,3355,3354,1118
0.100000,0.000000000000,100000,1.0,0,3355,3354,1118
0.200000,0.000000000000,100000,1.0,0,3355,3354,1118
0.300000,0.000000000000,100000,1.0,0,3355,3354,1118
0.400000,0.000000000000,100000,1.0,0,3355,3354,1118
0.500000,0.000000000000,100000,1.0,0,3355,3354,1118
0.600000,0.000000000000,100000,1.0,0,3355,3354,1118
0.700000,0.000000000000,100000,1.0,0,3355,3354,1118
0.800000,0.000000000000,100000,1.0,0,3355,3354,1118
0.900000,0.000000000000,100000,1.0,0,3355,3354,1118
1.000000,0.000000000000,100000,1.0,0,3355,3354,1118
1.100000,0.000000000000,100000,1.0,0,3355,3354,1118
1.200000,0.000000000000,100000,1.0,0,3355,3354,1118
1.300000,0.000000000000,100000,1.0,0,3355,3354,1118
1.400000,0.000000000000,100000,1.0,0,3355,3354,1118
1.500000,0.000000000000,100000,1.0,0,3355,3354,1118
1.600000,0.000000000000,100000,1.0,0,3355,3354,1118
1.700000,0.000000000000,100000,1.0,0,3355,3354,1118
1.800000,0.000000000000,100000,1.0,0,3355,3354,1118
1.900000,0.000000000000,100000,1.0,0,3355,3354,1118
2.000000,0.000000000000,100000,1.0,0,3355,3354,1118
2.100000,0.003329141676,100000,1.0,0,3355,3354,1118
2.200000,0.097317259578,100000,1.0,0,3355,3354,1118
2.300000,0.580298422367,100000,1.0,0,3355,3354,1118
2.400000,1.967460997357,100000,1.0,0,3355,3354,1118
2.500000,4.771175743002,100000,1.0,0,3355,3354,1118
2.600000,9.438169301345,100000,1.0,0,3355,3354,1118
2.700000,16.577581014905,100000,1.0,0,3355,3354,1118
2.800000,27.107546283561,100000,1.0,0,3355,3354,1118
2.900000,42.023351115577,100000,1.0,0,3355,3354,1118
3.000000,62.480017114204,100000,1.0,0,3355,3354,1118
3.100000,87.957357943189,100000,1.0,0,3355,3354,1118
3.200000,114.042398406523,100000,1.0,0,3355,3354,1118
3.300000,131.734537163844,100000,1.0,0,3355,3354,1118
3.400000,134.369334357567,100000,1.0,0,3355,3354,1118
3.500000,121.501154965829,100000,1.0,0,3355,3354,1118
3.600000,98.317178339497,100000,1.0,0,3355,3354,1118
3.700000,70.116687805699,100000,1.0,0,3355,3354,1118
3.800000,41.679528161121,100000,1.0,0,3355,3354,1118
3.900000,15.205478295838,100000,1.0,0,3355,3354,1118
4.000000,-7.312151284185,100000,1.0,0,3355,3354,1118
4.100000,-24.648080370908,100000,1.0,0,3355,3354,1118
4.200000,-36.197802383453,100000,1.0,0,3355,3354,1118
4.300000,-42.345675617135,100000,1.0,0,3355,3354,1118
4.400000,-43.622674432493,100000,1.0,0,3355,3354,1118
4.500000,-41.738703494862,100000,1.0,0,3355,3354,1118
4.600000,-36.852803079552,100000,1.0,0,3355,3354,1118
4.700000,-30.552650217842,100000,1.0,0,3355,3354,1118
4.800000,-22.235844747621,100000,1.0,0,3355,3354,1118
4.900000,-12.978333087055,100000,1.0,0,3355,3354,1118
5.000000,-2.817456147262,100000,1.0,0,3355,3354,1118
5.100000,7.613041284769,100000,1.0,0,3355,3354,1118
5.200000,18.804093219061,100000,1.0,0,3355,3354,1118
5.300000,29.758847110424,100000,1.0,0,3355,3354,1118
5.400000,40.115952414555,100000,1.0,0,3355,3354,1118
5.500000,49.628751994748,100000,1.0,0,3355,3354,1118
5.600000,57.339745069876,100000,1.0,0,3355,3354,1118
5.700000,63.015045187452,100000,1.0,0,3355,3354,1118
5.800000,65.852221701803,100000,1.0,0,3355,3354,1118
5.900000,66.015440553279,100000,1.0,0,3355,3354,1118
6.000000,62.881578244618,100000,1.0,0,3355,3354,1118
6.100000,57.503943359016,100000,1.0,0,3355,3354,1118
6.200000,49.785901263597,100000,1.0,0,3355,3354,1118
6.300000,40.781362114004,100000,1.0,0,3355,3354,1118
6.400000,31.721162168304,100000,1.0,0,3355,3354,1118
6.500000,23.593681607331,100000,1.0,0,3355,3354,1118
6.600000,16.990467610984,100000,1.0,0,3355,3354,1118
6.700000,12.356843935521,100000,1.0,0,3355,3354,1118
6.800000,8.876291322354,100000,1.0,0,3355,3354,1118
6.900000,6.859710825652,100000,1.0,0,3355,3354,1118
7.000000,6.179330251557,100000,1.0,0,3355,3354,1118
7.100000,6.656518037642,100000,1.0,0,3355,3354,1118
7.200000,7.763365301524,100000,1.0,0,3355,3354,1118
7.300000,9.654008163980,100000,1.0,0,3355,3354,1118
7.400000,11.747755541673,100000,1.0,0,3355,3354,1118
7.500000,14.031884485686,100000,1.0,0,3355,3354,1118
7.600000,16.387095744276,100000,1.0,0,3355,3354,1118
7.700000,18.600671528598,100000,1.0,0,3355,3354,1118
7.800000,20.666626763109,100000,1.0,0,3355,3354,1118
7.900000,22.545173509629,100000,1.0,0,3355,3354,1118
8.000000,24.328589445198,100000,1.0,0,3355,3354,1118
8.100000,25.506900320748,100000,1.0,0,3355,3354,1118
8.200000,27.105680432712,100000,1.0,0,3355,3354,1118
8.300000,27.921783193527,100000,1.0,0,3355,3354,1118
8.400000,28.666826597971,100000,1.0,0,3355,3354,1118
8.500000,29.203818492378,100000,1.0,0,3355,3354,1118
8.600000,29.295837915902,100000,1.0,0,3355,3354,1118
8.700000,29.065170400723,100000,1.0,0,3355,3354,1118
8.800000,28.641355563838,100000,1.0,0,3355,3354,1118
8.900000,28.727237061325,100000,1.0,0,3355,3354,1118
9.000000,27.916728983680,100000,1.0,0,3355,3354,1118
9.100000,27.021790158082,100000,1.0,0,3355,3354,1118
9.200000,26.675284398026,100000,1.0,0,3355,3354,1118
9.300000,25.960875993621,100000,1.0,0,3355,3354,1118
9.400000,25.173626444006,100000,1.0,0,3355,3354,1118
9.500000,24.375409914745,100000,1.0,0,3355,3354,1118
9.600000,23.712355679418,100000,1.0,0,3355,3354,1118
9.700000,23.117586387393,100000,1.0,0,3355,3354,1118
9.800000,22.410501120201,100000,1.0,0,3355,3354,1118
9.900000,22.010103246073,100000,1.0,0,3355,3354,1118
10.000000,21.698753268689,100000,1.0,0,3355,3354,1118
10.100000,21.169896252378,100000,1.0,0,3355,3354,1118
10.200000,21.054637268319,100000,1.0,0,3355,3354,1118
10.300000,21.070156398937,100000,1.0,0,3355,3354,1118
10.400000,21.405566444078,100000,1.0,0,3355,3354,1118
10.500000,21.446453557418,100000,1.0,0,3355,3354,1118
10.600000,21.720920527474,100000,1.0,0,3355,3354,1118
10.700000,21.872063584531,100000,1.0,0,3355,3354,1118
10.800000,21.993841392450,100000,1.0,0,3355,3354,1118
10.900000,22.409787508768,100000,1.0,0,3355,3354,1118
11.000000,23.201888323198,100000,1.0,0,3355,3354,1118
11.100000,23.337779089711,100000,1.0,0,3355,3354,1118
11.200000,23.757251346653,100000,1.0,0,3355,3354,1118
11.300000,24.450481099136,100000,1.0,0,3355,3354,1118
11.400000,25.157386756101,100000,1.0,0,3355,3354,1118
11.500000,25.374036094433,100000,1.0,0,3355,3354,1118
11.600000,25.682384298981,100000,1.0,0,3355,3354,1118
11.700000,25.631283899901,100000,1.0,0,3355,3354,1118
11.800000,25.221955171778,100000,1.0,0,3355,3354,1118
11.900000,25.077604899688,100000,1.0,0,3355,3354,1118
12.000000,24.739646671559,100000,1.0,0,3355,3354,1118
12.100000,24.602199053225,100000,1.0,0,3355,3354,1118
12.200000,25.044107192390,100000,1.0,0,3355,3354,1118
12.300000,25.315810702212,100000,1.0,0,3355,3354,1118
12.400000,25.348785764953,100000,1.0,0,3355,3354,1118
12.500000,24.916676407827,100000,1.0,0,3355,3354,1118
12.600000,24.921247160088,100000,1.0,0,3355,3354,1118
12.700000,24.747067278966,100000,1.0,0,3355,3354,1118
12.800000,23.830603821535,100000,1.0,0,3355,3354,1118
12.900000,22.960293810740,100000,1.0,0,3355,3354,1118
13.000000,22.146337214011,100000,1.0,0,3355,3354,1118
13.100000,21.484370754334,100000,1.0,0,3355,3354,1118
13.200000,20.501458229366,100000,1.0,0,3355,3354,1118
13.300000,19.849177507950,100000,1.0,0,3355,3354,1118
13.400000,19.856298279106,100000,1.0,0,3355,3354,1118
13.500000,19.803936959125,100000,1.0,0,3355,3354,1118
13.600000,19.507627855853,100000,1.0,0,3355,3354,1118
13.700000,19.533439339401,100000,1.0,0,3355,3354,1118
13.800000,20.226668385579,100000,1.0,0,3355,3354,1118
13.900000,20.683337975222,100000,1.0,0,3355,3354,1118
14.000000,21.728394669784,100000,1.0,0,3355,3354,1118
14.100000,22.891304907122,100000,1.0,0,3355,3354,1118
14.200000,23.815880026501,100000,1.0,0,3355,3354,1118
14.300000,24.818226689312,100000,1.0,0,3355,3354,1118
14.400000,26.211971335498,100000,1.0,0,3355,3354,1118
14.500000,27.607188298142,100000,1.0,0,3355,3354,1118
14.600000,28.320813571134,100000,1.0,0,3355,3354,1118
14.700000,29.335861258070,100000,1.0,0,3355,3354,1118
14.800000,30.184539196106,100000,1.0,0,3355,3354,1118
14.900000,30.822063640878,100000,1.0,0,3355,3354,1118
15.000000,31.099465909559,100000,1.0,0,3355,3354,1118
